Date,Open,High,Low,Close,Adj Close,Volume
2021-02-16,4.780000,4.790000,4.620000,4.720000,4.511294,17725100
2021-02-17,4.720000,4.720000,4.610000,4.690000,4.482620,21553100
2021-02-18,4.650000,4.720000,4.550000,4.620000,4.419485,31639800
2021-02-19,4.640000,4.730000,4.570000,4.580000,4.381220,26458400
2021-02-22,4.280000,4.370000,4.220000,4.220000,4.036844,63061300
2021-02-23,4.360000,4.510000,4.310000,4.490000,4.295127,35863600
2021-02-24,4.410000,4.480000,4.370000,4.470000,4.275993,31894400
2021-02-25,4.440000,4.460000,4.240000,4.270000,4.084674,32032200
2021-02-26,4.310000,4.340000,4.110000,4.140000,3.960316,38318400
2021-03-01,4.100000,4.200000,3.960000,3.970000,3.797695,36645700
2021-03-02,3.940000,4.140000,3.890000,4.060000,3.887706,45053000
2021-03-03,4.000000,4.160000,3.880000,4.080000,3.906857,52323700
2021-03-04,4.290000,4.390000,4.190000,4.220000,4.040915,49306500
2021-03-05,4.450000,4.450000,4.320000,4.400000,4.213278,40884100
2021-03-08,4.400000,4.470000,4.130000,4.130000,3.954736,38971500
2021-03-09,4.170000,4.300000,4.110000,4.230000,4.050492,31166900
2021-03-10,4.270000,4.430000,4.220000,4.370000,4.184551,57858500
2021-03-11,4.490000,4.580000,4.380000,4.540000,4.347336,50420500
2021-03-12,4.460000,4.510000,4.430000,4.480000,4.289883,21688100
2021-03-15,4.430000,4.540000,4.400000,4.470000,4.280306,18398900
2021-03-16,4.480000,4.510000,4.380000,4.430000,4.242005,26013800
2021-03-17,4.380000,4.660000,4.380000,4.630000,4.433517,28074000
2021-03-18,4.720000,4.830000,4.640000,4.710000,4.510122,42696000
2021-03-19,4.760000,4.860000,4.700000,4.760000,4.558001,48955100
2021-03-22,4.720000,4.830000,4.670000,4.800000,4.596303,38281300
2021-03-23,4.760000,4.880000,4.730000,4.730000,4.529274,36430700
2021-03-24,4.720000,4.780000,4.600000,4.620000,4.423941,29725900
2021-03-25,4.570000,4.680000,4.540000,4.670000,4.471820,32727800
2021-03-26,4.690000,4.710000,4.570000,4.650000,4.452669,24380400
2021-03-29,4.590000,4.670000,4.530000,4.620000,4.423941,26567300
2021-03-30,4.620000,4.750000,4.610000,4.720000,4.519697,24579600
2021-03-31,4.670000,4.750000,4.620000,4.700000,4.500546,22023500
2021-04-01,4.650000,4.670000,4.480000,4.490000,4.302204,25736800
2021-04-05,4.560000,4.630000,4.510000,4.530000,4.340532,20249500
2021-04-06,4.550000,4.600000,4.480000,4.500000,4.311786,24383700
2021-04-07,4.550000,4.580000,4.430000,4.430000,4.244714,33327000
2021-04-08,4.480000,4.540000,4.440000,4.480000,4.292622,17387300
2021-04-09,4.440000,4.510000,4.390000,4.430000,4.244714,18926600
2021-04-12,4.460000,4.480000,4.390000,4.460000,4.273459,18580200
2021-04-13,4.380000,4.510000,4.360000,4.450000,4.263878,17317700
2021-04-14,4.400000,4.590000,4.390000,4.530000,4.340532,23153400
2021-04-15,4.580000,4.620000,4.490000,4.540000,4.350112,16657600
2021-04-16,4.520000,4.680000,4.500000,4.620000,4.426766,17144800
2021-04-19,4.200000,4.270000,4.180000,4.240000,4.062661,29678500
2021-04-20,4.220000,4.260000,4.130000,4.130000,3.957262,25738000
2021-04-21,4.120000,4.140000,4.070000,4.120000,3.947679,6132700
2021-04-22,4.210000,4.240000,4.140000,4.210000,4.033916,21913000
2021-04-23,4.230000,4.300000,4.210000,4.240000,4.062661,25416200
2021-04-26,4.350000,4.360000,4.230000,4.250000,4.072242,23385700
2021-04-27,4.280000,4.360000,4.250000,4.260000,4.081825,22743600
2021-04-28,4.350000,4.570000,4.350000,4.550000,4.359695,27886100
2021-04-29,4.520000,4.540000,4.390000,4.420000,4.235132,17221400
2021-04-30,4.400000,4.430000,4.330000,4.350000,4.168059,26607800
2021-05-03,4.460000,4.560000,4.430000,4.460000,4.273459,31919600
2021-05-04,4.400000,4.410000,4.310000,4.340000,4.161277,24068700
2021-05-05,4.340000,4.430000,4.280000,4.410000,4.228395,39761800
2021-05-06,4.430000,4.510000,4.430000,4.510000,4.324276,19554600
2021-05-07,4.530000,4.610000,4.510000,4.590000,4.400982,23067200
2021-05-10,4.580000,4.710000,4.560000,4.680000,4.487276,31743000
2021-05-11,4.630000,4.730000,4.620000,4.680000,4.487276,26325500
2021-05-12,4.580000,4.630000,4.460000,4.480000,4.295512,25166800
2021-05-13,4.540000,4.660000,4.530000,4.600000,4.410570,25844500
2021-05-14,4.710000,4.750000,4.600000,4.710000,4.516041,23493100
2021-05-17,4.630000,4.720000,4.600000,4.690000,4.496864,17658500
2021-05-18,4.740000,4.810000,4.720000,4.780000,4.583159,20474500
2021-05-19,4.730000,4.790000,4.700000,4.770000,4.573570,19970300
2021-05-20,4.800000,4.850000,4.780000,4.840000,4.640687,20438000
2021-05-21,4.820000,4.850000,4.740000,4.810000,4.611922,24892400
2021-05-24,4.840000,4.870000,4.800000,4.820000,4.621511,13449300
2021-05-25,4.840000,4.850000,4.760000,4.770000,4.573570,23201100
2021-05-26,4.810000,4.940000,4.810000,4.930000,4.726981,14500100
2021-05-27,4.950000,5.030000,4.860000,5.020000,4.813274,22921900
